id	name	title	doi	journal	first_author	author	volume	pages	year
anagallis_Leitner et al(2010)	Anagallis	A dynamic root system growth model based on L-Systems	10.1007/s11104-010-0284-7	Plant and Soil	Leitner D	Leitner D, Klepsch S, Bodner G, Schnepf A	332	177-192	2010
BrassicaNapus_a_Leitner_et_al_2010	Brassica napus a	A dynamic root system growth model based on L-Systems	10.1007/s11104-010-0284-7	Plant and Soil	Leitner D	Leitner D, Klepsch S, Bodner G, Schnepf A	332	177-192	2010
BrassicaNapus_b_Leitner_et_al_2010	Brassica napus b	A dynamic root system growth model based on L-Systems	10.1007/s11104-010-0284-7	Plant and Soil	Leitner D	Leitner D, Klepsch S, Bodner G, Schnepf A	332	177-192	2010
Cauliflower_Vansteenkiste_et_al_2014	Brassica oleracea	Estimating the parameters of a 3-D root distribution function from root observations with the trench profile method: case study with simulated and field-observed root data	10.1007/s11104-013-1942-3	Plant and Soil	Vansteenkiste J	Vansteenkiste J, Van Loon J, Garré S, Pagès L, Schrevens E, Diels J	375	75-88	2014
CrypsisAculeata_Clausnitzer_Hopmans_1994	Crypsis aculeata	Simultaneous modeling of transient three-dimensional root growth and soil water flow	10.1007/BF00010082	Plant and Soil	Clausnitzer V	Clausnitzer V, Hopmans J W	164	299-314	1994
Helianthus_Pages_et_al_2013	Heliantus	Calibration and evaluation of ArchiSimple, a simple model of root system architecture	10.1016/j.ecolmodel.2013.11.014	Ecological Modelling	Pagès L	Pagès L, Bécel C, Boukcim H, Moreau D, Nguyen C, Voisin A	290	76-84	2014
JuncusSquarrosus_Clausnitzer_Hopmans_1994	Juncus squarrosus	Simultaneous modeling of transient three-dimensional root growth and soil water flow	10.1007/BF00010082	Plant and Soil	Clausnitzer V	Clausnitzer V, Hopmans J W	164	299-314	1994
Maize_Pheno1_Leitner_et_al_2014	Zea mays a	Impact of contrasted maize root traits at flowering on water stress tolerance – A simulation study	10.1016/j.fcr.2014.05.009	Field Crops Research	Leitner D	Leitner D, Meunier F, Bodner G, Javaux M, Schnepf A	165	125-137	2014
Maize_Pheno2_Leitner_et_al_2014	Zea mays b	Impact of contrasted maize root traits at flowering on water stress tolerance – A simulation study	10.1016/j.fcr.2014.05.009	Field Crops Research	Leitner D	Leitner D, Meunier F, Bodner G, Javaux M, Schnepf A	165	125-137	2014
Maize_Pheno3_Leitner_et_al_2014	Zea mays c	Impact of contrasted maize root traits at flowering on water stress tolerance – A simulation study	10.1016/j.fcr.2014.05.009	Field Crops Research	Leitner D	Leitner D, Meunier F, Bodner G, Javaux M, Schnepf A	165	125-137	2014
Medicago_Schnepf_et_al_2016	Medicago	L-System model for the growth of arbuscular mycorrhizal fungi, both within and outside of their host roots	10.1098/rsif.2016.0129	Journal of The Royal Society Interface	Schnepf A	Schnepf A, Leitner D, Schweiger P F, Scholl P, Jansa J	13	20160129	2016
Noccaea_Pages_et_al_2013	Noccaea	Calibration and evaluation of ArchiSimple, a simple model of root system architecture	10.1016/j.ecolmodel.2013.11.014	Ecological Modelling	Pagès L	Pagès L, Bécel C, Boukcim H, Moreau D, Nguyen C, Voisin A	290	76-84	2014
Oak_Seedling_Collet_et_al_2006	Quercus robur	Root System Development of Oak Seedlings Analysed using an Architectural Model. Effects of Competition with Grass	10.1007/s11104-005-2419-9	Plant and Soil	Collet C	Collet C, Löf M, Pagès L	279	367-383	2006
PisumSativum_Pages_et_al_2014	Pisum sativum a	Modelling the root system architecture of Poaceae. Can we simulate integrated traits from morphological parameters of growth and branching?	10.1111/nph.12904	New Phytologist	Pagès L	Pagès L, Picon-Cochard C	204	149-158	2014
PisumSativum_rhob1.0_Tsegaye_et_al_1995	Pisum sativum b	Modelling pea (Pisum sativum) root growth in drying soil. A comparison between observations and model predictions	10.1111/j.1469-8137.1995.tb05719.x	New Phytologist	TSEGAYE T	TSEGAYE T, MULLINS C E, DIGGLE A J	131	179-189	1995
PisumSativum_rhob1.2_Tsegaye_et_al_1995	Pisum sativum c	Modelling pea (Pisum sativum) root growth in drying soil. A comparison between observations and model predictions	10.1111/j.1469-8137.1995.tb05719.x	New Phytologist	TSEGAYE T	TSEGAYE T, MULLINS C E, DIGGLE A J	131	179-189	1995
PisumSativum_rhob1.4_Tsegaye_et_al_1995	Pisum sativum d	Modelling pea (Pisum sativum) root growth in drying soil. A comparison between observations and model predictions	10.1111/j.1469-8137.1995.tb05719.x	New Phytologist	TSEGAYE T	TSEGAYE T, MULLINS C E, DIGGLE A J	131	179-189	1995
sorghum_Leitner&Bachmann(2013)	Sorghum bicolor	_	_	_	_	_	_	_	_
TriticumAestivum_Bingham_et_al_2011	Triticum aestivum a	Simulation of wheat growth using the 3D root architecture model SPACSYS: Validation and sensitivity analysis	10.1016/j.eja.2011.01.003	European Journal of Agronomy	Bingham I J	Bingham I J, Wu L	34	181-189	2011
wheat	Triticum aestivum b	_	_	_	_	_	_	_	_
