x1 y1 z1 x2 y2 z2 radius R G B time type 
0.0000 0.0000 -3.0000 0.0074 -0.0185 -3.0980 0.0500 0.4314 0.3922 0.1961 0.0250 1.0000 
0.0074 -0.0185 -3.0980 0.0043 -0.0152 -3.1979 0.0500 0.4314 0.3922 0.1961 0.0502 1.0000 
0.0043 -0.0152 -3.1979 -0.0256 -0.0283 -3.2924 0.0500 0.4314 0.3922 0.1961 0.0753 1.0000 
-0.0256 -0.0283 -3.2924 -0.0283 -0.0242 -3.3923 0.0500 0.4314 0.3922 0.1961 0.1006 1.0000 
-0.0283 -0.0242 -3.3923 -0.0132 -0.0191 -3.4910 0.0500 0.4314 0.3922 0.1961 0.1259 1.0000 
-0.0132 -0.0191 -3.4910 -0.0157 -0.0378 -3.5892 0.0500 0.4314 0.3922 0.1961 0.1514 1.0000 
-0.0157 -0.0378 -3.5892 0.0149 -0.0193 -3.6826 0.0500 0.4314 0.3922 0.1961 0.1769 1.0000 
0.0149 -0.0193 -3.6826 0.0261 -0.0250 -3.7818 0.0500 0.4314 0.3922 0.1961 0.2024 1.0000 
0.0261 -0.0250 -3.7818 0.0639 -0.0416 -3.8729 0.0500 0.4314 0.3922 0.1961 0.2281 1.0000 
0.0639 -0.0416 -3.8729 0.0723 -0.0135 -3.9685 0.0500 0.4314 0.3922 0.1961 0.2538 1.0000 
0.0723 -0.0135 -3.9685 0.0542 0.0023 -4.0655 0.0500 0.4314 0.3922 0.1961 0.2796 1.0000 
0.0542 0.0023 -4.0655 0.0375 0.0155 -4.1633 0.0500 0.4314 0.3922 0.1961 0.3055 1.0000 
0.0375 0.0155 -4.1633 0.0235 0.0237 -4.2619 0.0500 0.4314 0.3922 0.1961 0.3315 1.0000 
0.0235 0.0237 -4.2619 -0.0036 0.0698 -4.3464 0.0500 0.4314 0.3922 0.1961 0.3575 1.0000 
-0.0036 0.0698 -4.3464 -0.0279 0.1186 -4.4303 0.0500 0.4314 0.3922 0.1961 0.3837 1.0000 
-0.0279 0.1186 -4.4303 -0.0663 0.1476 -4.5179 0.0500 0.4314 0.3922 0.1961 0.4099 1.0000 
